Distributor Name,Medicine Name,State,District,City,Address,Contact Number,Verified,Additional Notes,Created Time,Updated Time
A.N. PHARMA,Tocilizumab,Maharashtra,,,"G1/G2, KANTI EMPIRE,LAL GODOWN, COLLEGE ROAD,VASAI (W),THANE.LBT NO 67 343 2011,VASAI (W),401202",,,,,
ATOR HEALTHCARE PVT. LTD.,Tocilizumab,Maharashtra,,,"SONMUR APARTMENTS,DARUWALLA COMPOUND,S.V.ROAD,MALAD (W), MUMBAI,MALAD (W),400064",,,,,
ARHAM PHARMACEUITICALS,Tocilizumab,Maharashtra,,,"SHOP NO 1 , LAXMI NIVAS SOCIETY893 SADASHIV PETHPUNEPUNE,PUNE,411030",,,,,
AAKANKSHA LOGISTICS PRIVATE LTD,Tocilizumab,Maharashtra,,,"1ST FLOOR,C\O MANTRI HOSPITALSURVEY NO 69 15.B.T. KAWADE ROADGHORPADIPUNE,PUNE,411036",,,,,
ASHISH MARKETING,Tocilizumab,Gujarat,,,"ASHISH CHAMBER,POST OFFICE ROAD,JAM-KHAMBHALIATAL KHAMBHALIA (JAMNAGAR),JAMKHAMBALIA,361305",,,,,
ANIL MEDICAL AGENCIES,Tocilizumab,Chhattisgarh,,,"D.C.H.COMPLEX,RAIPUR RdDHAMTARI 493773493773,DHAMTARI 493773,493773",,,,,
ANIL MEDICOSE (DAMOH),Tocilizumab,Madhya Pradesh,,,"17, SHASTRI MARKETKACHORA SHOPPING CENTREDAMOHDAMOH (M.P.),DAMOH,470661",,,,,
ASHA AGENCIES (BARWANI),Tocilizumab,Madhya Pradesh,,,"GAJANAND PLAZARAJGHAT ROADBARWANIBARWANI (M.P.),BARWANI,451551",,,,,
AUROBINDO DRUGS,Tocilizumab,Andhra Pradesh,,,"D.NO:8-72, BLOCK-IIPRASAD PLAZA,KAMAIAHTHOPU CENTER,M.G. ROADVIJAYAWADA,VIJAYAWADA,520007",,,,,
ASHOK MEDICOSE,Tocilizumab,Chhattisgarh,,,"BEHIND AGRASEN BHAWANKHARSIADIST-RAIGARH,KHARSIA,496661",,,,,
ARUN PHARMATICS SEONI,Tocilizumab,Madhya Pradesh,,,"CHHOTI POLICE LINESEONISEONISEONI (M.P.),SEONI,480661",,,,,
A.S. ENTERPRISES,Tocilizumab,Madhya Pradesh,,,"1081, MOTI CHOWK,MHOWMHOWMHOW (M.P.),MHOW,453441",,,,,
AJAY AGENCIES,Tocilizumab,Maharashtra,,,"PATNI CHOWK,WASHIMWASHIM,WASHIM,444505",,,,,
AKASH MEDICOS,Tocilizumab,Maharashtra,,,"SHOP NO- 2,II FLOORSHRI SHOPING COMPLEXSANGAM CHOWK, BULDANA,BULDHANA,443001",,,,,
ASSOCIATED DISTRIBUTOR(CHQ),Tocilizumab,Maharashtra,,,"CANARA BANK BASEMENT,SHOP NO 5,MEDICINE MARKET,5TH LANECITY SR NO 137, DHULEX,DHULE 424
001,424001",,,,,
ANAND AGENCIES (CHQ),Tocilizumab,Maharashtra,,,"C.S NO 3297/A/11A, ANAND NIWAS FIRSNEAR PANDURANG TALKIES JAMNER RDBHUSAWAL
425201,BHUSAWAL,425201",,,,,
ANIL MEDICAL STORES,Tocilizumab,Maharashtra,,,"SHOP NO.01, HOUSE NO.3-10-53 CST NOGANDHI CHOWK, AURNGABAD.TAL AURNGABAD DIST. AURANGABADPIN
: 431 001,AURNGABAD,431001",,,,,
ARIHANT DISTRIBUTORS NANDURBAR,Tocilizumab,Maharashtra,,,"OFF.-11 YASH PARDESHIPURAOPPOSITE TO RAM MANDIRNANDURBAR,NANDURBAR,425412",,,,,
